"ListName","ItemCount"
"Access Requests","1"
"appdata","0"
"appfiles","0"
"Approval Steps","0"
"Approval Workflows","0"
"Commonwealth Bank Of Australia - VICPAS21 Reward Strategy Review_Tasks","0"
"Commonwealth Bank Of Australia - VICPAS21 Reward Strategy Review_Tools","5"
"Composed Looks","18"
"Connected Libraries","1"
"Connected Lists","0"
"Converted Forms","0"
"Document Copy Audit","0"
"EDLWorkflowHistory","0"
"Engagement Library Status","1"
"EYI My Docs Workflow Mapping","0"
"EYI My Docs Workflow Task","0"
"Form Templates","0"
"GEAR Document Links","1"
"Library","162"
"List Template Gallery","0"
"Maintenance Log Library","4"
"Master Page Gallery","223"
"Project Policy Item List","0"
"Site Assets","35"
"Site Pages","10"
"SiteOwnerPanelConfig","0"
"Solution Gallery","0"
"Style Library","5"
"TaxonomyHiddenList","4"
"Theme Gallery","43"
"User Information List","79"
"Web Part Gallery","71"
"Web Template Extensions","10"
"wfpub","21"
"Workspace Reports Library","0"
