Source;Destination;SourceListFile;DestinationListFile;	
https://eyapc.sharepoint.com/sites/eyimdSGP-0001118-C;https://eyonespace.ey.com/sites/37992d11ff1e41db86f33aa90d84c707;1spoInventoryS.csv;1spopInventoryD.csv;
https://eyaustralia.sharepoint.com/sites/eyimdAUS-0002408-MC;https://au.eyonespace.ey.com/sites/7c2497b893fb49c18ce3c2b22f85b276;2spoInventoryS.csv;2spopInventoryD.csv;
https://eyaustralia.sharepoint.com/sites/eyimdAUS-0034008-MM;https://au.eyonespace.ey.com/sites/28819203a37343eaa3ca25a9772c714b;3spoInventoryS.csv;3spopInventoryD.csv;
https://eyaustralia.sharepoint.com/sites/eyimdAUS-0034388-MM;https://au.eyonespace.ey.net/sites/b1ee388598c54b5eaaea7e84010f3af4;4spoInventoryS.csv;4spopInventoryD.csv;
