"Type","Name","URL","Inheritance","User/group","Principaltype","Accountname","Permissions","TargetURL","DesURL"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Team Member Restricted;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Team Member;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Business Unit Access","SharePoint group","Business Unit Access","Business Unit Access;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Edit;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Engagement Home Owners","SharePoint group","Engagement Home Owners","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","eViewer Contributor","SharePoint group","eViewer Contributor","eViewer Contributor;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Excel Services Viewers","SharePoint group","Excel Services Viewers","View Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Scan To Library Contributor","SharePoint group","Scan To Library Contributor","Contribute;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Tax Engagement Owner;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Tax File Administrator;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Tax Quality","SharePoint group","Tax Quality","Tax Quality;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Tax Engagement Owner;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Tax File Administrator;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","Tax Quality","SharePoint group","Tax Quality","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Steps","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalStepslist","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalStepslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Tax Engagement Owner;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Tax File Administrator;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","Tax Quality","SharePoint group","Tax Quality","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Approval Workflows","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSApprovalWorkflowslist","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSApprovalWorkflowslist"
"List/Library","Document Copy Audit","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/DocumentCopyAudit","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/DocumentCopyAudit"
"List/Library","Document Copy Audit","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/DocumentCopyAudit","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/DocumentCopyAudit"
"List/Library","Document Copy Audit","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/DocumentCopyAudit","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/DocumentCopyAudit"
"List/Library","Document Copy Audit","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/DocumentCopyAudit","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/DocumentCopyAudit"
"List/Library","Document Copy Audit","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/DocumentCopyAudit","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/DocumentCopyAudit"
"List/Library","Engagement Library Status","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EngagementLibraryStatus","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EngagementLibraryStatus"
"List/Library","Engagement Library Status","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EngagementLibraryStatus","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EngagementLibraryStatus"
"List/Library","Engagement Library Status","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EngagementLibraryStatus","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EngagementLibraryStatus"
"List/Library","Engagement Library Status","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EngagementLibraryStatus","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Add Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EngagementLibraryStatus"
"List/Library","Engagement Library Status","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EngagementLibraryStatus","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EngagementLibraryStatus"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Tax Engagement Owner;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Tax File Administrator;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","Tax Quality","SharePoint group","Tax Quality","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","EYI My Docs Workflow Mapping","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/EYOSWorkflowMapping","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/EYOSWorkflowMapping"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Contribute;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Contribute;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","Tax Quality","SharePoint group","Tax Quality","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","GEAR Document Links","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/Lists/GEARContracts","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/Lists/GEARContracts"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Team Member Restricted;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Team Member;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Business Unit Access","SharePoint group","Business Unit Access","Business Unit Access;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Edit;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Engagement Home Owners","SharePoint group","Engagement Home Owners","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","eViewer Contributor","SharePoint group","eViewer Contributor","eViewer Contributor;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Excel Services Viewers","SharePoint group","Excel Services Viewers","View Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Scan To Library Contributor","SharePoint group","Scan To Library Contributor","Contribute;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Tax Engagement Owner;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Tax File Administrators","SharePoint group","Tax File Administrators","Tax File Administrator;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","Tax Quality","SharePoint group","Tax Quality","Tax Quality;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust_Library","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/EngagementDocumentLibrary","Custom","P.MSMQDEPIWRITE.17","User","i:0#.w|ey\p.msmqdepiwrite.17","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/EngagementDocumentLibrary"
"List/Library","Site Pages","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54/SitePages","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Read and Personalize;Team Member Restricted;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm/SitePages"
